-1,RootNode
1,Hips
2,Spine
3,Spine1
4,Spine2
5,Neck
6,Head
7,HeadTop_End
8,LeftShoulder
9,LeftArm
10,LeftForeArm
11,LeftHand
12,LeftHandThumb1
13,LeftHandThumb2
14,LeftHandThumb3
15,LeftHandThumb4
16,LeftHandIndex1
17,LeftHandIndex2
18,LeftHandIndex3
19,LeftHandIndex4
20,LeftHandMiddle1
21,LeftHandMiddle2
22,LeftHandMiddle3
23,LeftHandMiddle4
24,LeftHandRing1
25,LeftHandRing2
26,LeftHandRing3
27,LeftHandRing4
28,LeftHandPinky1
29,LeftHandPinky2
30,LeftHandPinky3
31,LeftHandPinky4
32,RightShoulder
33,RightArm
34,RightForeArm
35,RightHand
36,RightHandIndex1
37,RightHandIndex2
38,RightHandIndex3
39,RightHandIndex4
40,RightHandThumb1
41,RightHandThumb2
42,RightHandThumb3
43,RightHandThumb4
44,RightHandMiddle1
45,RightHandMiddle2
46,RightHandMiddle3
47,RightHandMiddle4
48,RightHandRing1
49,RightHandRing2
50,RightHandRing3
51,RightHandRing4
52,RightHandPinky1
53,RightHandPinky2
54,RightHandPinky3
55,RightHandPinky4
56,LeftUpLeg
57,LeftLeg
58,LeftFoot
59,LeftToeBase
60,LeftToe_End
61,RightUpLeg
62,RightLeg
63,RightFoot
64,RightToeBase
65,RightToe_End


